file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,183,Ámsterdam,Dampkring,Dampkring,Coffee shop,52.367732,4.890481,52.380066,4.892923,1381,120,amsterdam,review,nominatim/fuentes discrepan 1.4 km,error
europa_occidental.csv,174,Ámsterdam,Amsterdam Museum,Amsterdam Museum,Museo,52.365366,4.902387,52.370431,4.890429,988,150,amsterdam,high,nominatim/nominatim_free,error
europa_occidental.csv,53,Londres,Harry Potter Studio Tour,Warner Bros Studio Tour London,Experiencia,51.690984,-0.418291,,,,300,,review,sin_candidatos,unresolved
europa_occidental.csv,114,Edimburgo,Old Town,Royal Mile,Barrio,55.94994,-3.189257,,,,1500,,review,sin_candidatos,unresolved
europa_occidental.csv,46,Londres,Broadway Market,Broadway Market,Mercado,51.537,-0.0615,51.536808,-0.061658,24,300,londres,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,115,Edimburgo,New Town,New Town,Barrio,55.955458,-3.199,55.955458,-3.199000,0,1500,edimburgo,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,36,Londres,Hampstead Heath,Hampstead Heath,Parque,51.55524,-0.165391,51.564149,-0.167172,998,600,londres,high,nominatim/nominatim_free,warn
europa_occidental.csv,34,Londres,Regent's Park,Regent's Park,Parque,51.523628,-0.146636,51.530107,-0.153769,873,600,londres,high,nominatim/nominatim_free,warn
europa_occidental.csv,103,Edimburgo,Salisbury Crags,Salisbury Crags,Mirador,55.948265,-3.172653,55.946042,-3.173881,259,150,edimburgo,high,nominatim/nominatim_free,warn
europa_occidental.csv,9,Londres,Imperial War Museum,Imperial War Museum,Museo,51.49659,-0.110659,51.495931,-0.108599,160,150,londres,high,photon/photon,warn
europa_occidental.csv,125,Highlands,Lost Valley (Coire Gabhail),Lost Valley,Trekking,56.648928,-5.003205,56.648928,-5.003205,0,3000,override,high,overpass:natural=valley Coire Gabhail,override
europa_occidental.csv,126,Highlands,Signal Rock,Signal Rock,Sitio histórico,56.664936,-5.067192,56.664936,-5.067192,0,200,override,high,overpass:tourism=attraction Tom a' Ghrianain,override
europa_occidental.csv,145,Highlands,Loch Cluanie,Loch Cluanie,Paisaje,57.139610,-5.088876,57.139610,-5.088876,0,2500,override,high,wikidata:Q1867216,override
europa_occidental.csv,139,Highlands,Quiraing,Quiraing,Trekking,57.6436,-6.2705,57.639736,-6.274133,481,3000,skye_noroeste,review,nominatim/fuentes discrepan 115.7 km,ok
europa_occidental.csv,122,Highlands,Fort William Town,Fort William,Pueblo,56.820558,-5.105313,56.817826,-5.110952,458,6000,fort_william,high,nominatim/nominatim_free,ok
europa_occidental.csv,144,Highlands,Elgol,Elgol,Paisaje,57.152323,-6.098404,57.149235,-6.101430,389,2500,skye_sur,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,159,Highlands,Pitlochry,Pitlochry,Pueblo,56.702364,-3.73564,56.701969,-3.730685,306,6000,perthshire,high,nominatim/nominatim_free,ok
europa_occidental.csv,79,York,Micklegate,Micklegate,Barrio,53.957285,-1.085875,53.956384,-1.090200,300,1500,york,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,132,Highlands,Castle Stalker,Castle Stalker,Castillo,56.572574,-5.382622,56.571555,-5.386109,242,250,oban_appin,high,nominatim/nominatim_free,ok
europa_occidental.csv,48,Londres,Spitalfields Market,Old Spitalfields Market,Mercado,51.519018,-0.078722,51.519600,-0.075363,241,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,44,Londres,Brick Lane Market,Brick Lane Market,Mercado,51.522286,-0.071581,51.524274,-0.071561,221,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,50,Londres,Maltby Street Market,Maltby Street Market,Mercado,51.4975,-0.0755,51.499258,-0.075624,196,300,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,37,Londres,Primrose Hill,Primrose Hill,Parque,51.539538,-0.160757,51.539048,-0.162457,130,600,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,25,Londres,Trafalgar Square,Trafalgar Square,Plaza,51.507398,-0.128241,51.508450,-0.128450,118,250,londres,high,nominatim/nominatim_free,ok
europa_occidental.csv,19,Londres,Tower Bridge,Tower Bridge,Sitio histórico,51.50467,-0.075932,51.505516,-0.075367,102,200,londres,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,182,Ámsterdam,Grey Area,Grey Area Coffeeshop,Coffee shop,52.3755,4.8895,52.374690,4.888872,100,120,amsterdam,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,109,Edimburgo,Edinburgh Farmers' Market,Castle Terrace,Mercado,55.947248,-3.202363,55.947930,-3.203257,94,300,edimburgo,high,nominatim/nominatim_bounded,ok
europa_occidental.csv,62,Londres,Islington / Angel,Angel,Barrio,51.532487,-0.106036,51.533195,-0.106114,79,1500,londres,high,nominatim/nominatim_free,ok
