file,line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,area,confianza,fuente,veredicto
europa_occidental.csv,119,Highlands,Nevis Range Gondola,Nevis Range,Teleférico,56.847673,-5.046407,56.844383,-4.985630,3714,300,fort_william,high,nominatim/nominatim_free,error
europa_occidental.csv,293,Highlands,Talisker Bay,Talisker Bay,Playa,57.285,-6.44,57.284419,-6.465801,1552,500,skye_sur,high,nominatim/nominatim_bounded,error
europa_occidental.csv,153,Highlands,Fort George,Fort George,Sitio histórico,57.586124,-4.044791,57.583811,-4.070286,1541,200,inverness,high,nominatim/nominatim_bounded,error
europa_occidental.csv,160,Highlands,Blair Castle,Blair Castle,Castillo,56.771334,-3.873177,56.773376,-3.856823,1022,250,perthshire,high,nominatim/nominatim_free,error
europa_occidental.csv,294,Highlands,Armadale Castle,Armadale Castle,Castillo,57.065,-5.895,57.072647,-5.894729,850,250,road_to_isles,high,nominatim/nominatim_free,error
europa_occidental.csv,281,Highlands,Glencoe Valley (Three Sisters),Three Sisters,Paisaje,56.662,-4.987,,,,2500,,review,sin_candidatos,unresolved
europa_occidental.csv,282,Highlands,Mallaig + Silver Sands of Morar,Silver Sands of Morar,Playa,56.97,-5.828,,,,500,,review,sin_candidatos,unresolved
europa_occidental.csv,295,Highlands,Glen Shiel & Five Sisters,Five Sisters of Kintail,Paisaje,57.19,-5.32,,,,2500,,review,sin_candidatos,unresolved
europa_occidental.csv,296,Highlands,Leakey's Bookshop,Leakey's Bookshop,Tienda,57.478,-4.2275,,,,120,,review,sin_candidatos,unresolved
europa_occidental.csv,291,Highlands,Glen Brittle,Glen Brittle,Paisaje,57.23,-6.28,57.210350,-6.289722,2262,2500,skye_sur,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,137,Highlands,Bealach na Bà / Applecross,Bealach na Ba,Paisaje,57.416,-5.7,57.407683,-5.674971,1761,2500,torridon_applecross,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,285,Highlands,Lealt Falls,Lealt Falls,Naturaleza,57.575,-6.17,57.565394,-6.152730,1484,2000,skye_norte,high,overpass/bajo_umbral,baja_precision
europa_occidental.csv,142,Highlands,Neist Point Lighthouse,Neist Point Lighthouse,Paisaje,57.4135,-6.788,57.423388,-6.788237,1100,2500,skye_oeste,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,290,Highlands,Sligachan Old Bridge,Sligachan Old Bridge,Paisaje,57.2895,-6.156,57.289808,-6.173274,1039,2500,skye_sur,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,299,Highlands,Falls of Foyers,Falls of Foyers,Naturaleza,57.256,-4.495,57.248859,-4.491402,823,2000,loch_ness,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,129,Highlands,Devil's Staircase,Devil's Staircase,Trekking,56.678,-4.905,56.673443,-4.912884,699,3000,glencoe,high,overpass/bajo_umbral,baja_precision
europa_occidental.csv,143,Highlands,Fairy Pools,Fairy Pools,Trekking,57.2495,-6.257,57.249108,-6.248658,504,3000,skye_sur,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,283,Highlands,Puerto de Portree,Portree Harbour,Pueblo,57.4125,-6.194,57.411435,-6.189981,268,1500,skye_norte,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,303,Highlands,Edradour Distillery,Edradour Distillery,Destilería,56.7005,-3.702,56.702173,-3.699381,245,250,perthshire,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,298,Highlands,Dores Beach,Dores Beach,Playa,57.382,-4.335,57.383929,-4.336345,229,500,loch_ness,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,289,Highlands,Coral Beach,Coral Beach,Playa,57.502,-6.64,57.500843,-6.637024,219,500,skye_oeste,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,130,Highlands,Glenfinnan Viaduct,Glenfinnan Viaduct,Sitio histórico,56.8763,-5.432,56.875824,-5.429320,171,200,glenfinnan,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,292,Highlands,Talisker Distillery,Talisker Distillery,Destilería,57.3025,-6.356,57.301876,-6.356683,81,250,skye_sur,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,302,Highlands,Killiecrankie,Killiecrankie,Sitio histórico,56.745,-3.778,56.744957,-3.779317,80,200,perthshire,high,nominatim/nominatim_bounded,baja_precision
europa_occidental.csv,288,Highlands,Dunvegan Castle,Dunvegan Castle,Castillo,57.4485,-6.59,57.448425,-6.590076,9,250,skye_oeste,high,nominatim/nominatim_free,baja_precision
europa_occidental.csv,279,Highlands,Glen Nevis & Steall Falls,Steall Falls,Trekking,56.801,-5.001,56.770242,-4.979830,3655,3000,fort_william,high,nominatim/nominatim_bounded,warn
europa_occidental.csv,284,Highlands,Kilt Rock & Mealt Falls,Kilt Rock,Paisaje,57.582,-6.158,57.610864,-6.172148,3318,2500,skye_noroeste,high,nominatim/nominatim_bounded,warn
europa_occidental.csv,123,Highlands,Buachaille Etive Mòr,Buachaille Etive Mor,Paisaje,56.65,-4.9,56.633967,-4.936779,2870,2500,glencoe,high,nominatim/nominatim_bounded,warn
europa_occidental.csv,140,Highlands,Fairy Glen,Fairy Glen,Paisaje,57.561,-6.311,57.583350,-6.327396,2671,2500,skye_noroeste,high,nominatim/nominatim_bounded,warn
