csv,csv_line,ciudad,nombre,buscado,tipo,lat_csv,lng_csv,lat_res,lng_res,dist_m,tolerancia_m,s1_resolver,s2_reverse,s3_decimales,s4_encuadre,puntaje,reverse_localidad,reverse_que_hay,fuente,veredicto
europa_occidental.csv,16,Londres,Southwark Cathedral,Southwark Cathedral,Iglesia,51.506158,-0.089682,51.506129,-0.089625,5,150,1,1,1,1,4,Greater London,"Southwark Cathedral, Cathedral Street, Borough Market, Bankside, The Borough, London Borou",nominatim/nominatim_free,verificado
europa_occidental.csv,2,Londres,British Museum,British Museum,Museo,51.519312,-0.126705,51.519312,-0.126705,0,150,1,0,1,1,3,Greater London,"Great Court, St Giles, Bloomsbury, London Borough of Camden, Greater London, England, WC1B",nominatim/nominatim_free,verificado
europa_occidental.csv,3,Londres,Natural History Museum,Natural History Museum,Museo,51.496511,-0.176002,51.496511,-0.176002,0,150,1,0,1,1,3,Greater London,"T. Rex Restaurant, Cromwell Road, Brompton, Royal Borough of Kensington and Chelsea, Great",nominatim/nominatim_free,verificado
europa_occidental.csv,4,Londres,Victoria & Albert Museum,Victoria and Albert Museum,Museo,51.496884,-0.171637,51.496884,-0.171637,0,150,1,0,1,1,3,Greater London,"V&A Bookstore, Cromwell Gardens, Brompton, Royal Borough of Kensington and Chelsea, Greate",nominatim/nominatim_free,verificado
europa_occidental.csv,5,Londres,Tate Modern,Tate Modern,Museo,51.507429,-0.099342,51.507429,-0.099342,0,150,1,0,1,1,3,Greater London,"Members Bar, Bankside, Southwark, London Borough of Southwark, Greater London, England, SE",photon/photon,verificado
europa_occidental.csv,6,Londres,National Gallery,National Gallery,Museo,51.508881,-0.128383,51.508881,-0.128383,0,150,1,1,1,1,4,City of Westminster,"National Gallery Shop, Trafalgar Square, Westminster, Covent Garden, City of Westminster, ",nominatim/nominatim_free,verificado
europa_occidental.csv,7,Londres,National Portrait Gallery,National Portrait Gallery,Museo,51.509284,-0.128319,51.509284,-0.128319,0,150,1,0,1,1,3,City of Westminster,"NPG gift shop, Charing Cross Road, East Marylebone, Covent Garden, City of Westminster, Gr",nominatim/nominatim_free,verificado
europa_occidental.csv,8,Londres,Science Museum,Science Museum,Museo,51.497398,-0.174673,51.497398,-0.174673,0,150,1,0,1,1,3,Greater London,"Museum Lane, Brompton, Royal Borough of Kensington and Chelsea, Greater London, England, S",nominatim/nominatim_free,verificado
europa_occidental.csv,9,Londres,Imperial War Museum,Imperial War Museum,Museo,51.495931,-0.108599,51.495931,-0.108599,0,150,1,0,1,1,3,Greater London,"Museum Café, Lambeth Road, Elephant and Castle, London Borough of Southwark, Greater Londo",photon/photon,verificado
europa_occidental.csv,10,Londres,Churchill War Rooms,Churchill War Rooms,Museo,51.502210,-0.129252,51.502210,-0.129252,0,150,1,0,1,1,3,City of Westminster,"King Charles Street, Westminster, Millbank, City of Westminster, Greater London, England, ",nominatim/nominatim_free,verificado
europa_occidental.csv,11,Londres,Sir John Soane's Museum,Sir John Soane's Museum,Museo,51.517075,-0.117495,51.517075,-0.117495,0,150,1,1,1,1,4,Greater London,"Sir John Soane's Museum, 13, Lincoln's Inn Fields, Hatton Garden, Holborn, London Borough ",nominatim/nominatim_free,verificado
europa_occidental.csv,12,Londres,Museum of London Docklands,Museum of London Docklands,Museo,51.507634,-0.023869,51.507634,-0.023869,0,150,1,0,1,1,3,Greater London,"Museum Cafe, Hertsmere Road, Canary Wharf, London Borough of Tower Hamlets, Greater London",nominatim/nominatim_free,verificado
europa_occidental.csv,13,Londres,The Courtauld Gallery,Courtauld Gallery,Museo,51.511624,-0.117700,51.511624,-0.117700,0,150,1,1,1,1,4,City of Westminster,"The Courtauld Gallery, Strand, St Clement Danes, Covent Garden, City of Westminster, Great",photon/photon,verificado
europa_occidental.csv,14,Londres,Westminster Abbey,Westminster Abbey,Iglesia,51.499399,-0.127391,51.499399,-0.127391,0,150,1,0,1,1,3,City of Westminster,"Charles Darwin, 20, Dean's Yard, Westminster, Millbank, City of Westminster, Greater Londo",nominatim/nominatim_free,verificado
europa_occidental.csv,15,Londres,St Paul's Cathedral,St Paul's Cathedral,Iglesia,51.513787,-0.098451,51.513787,-0.098451,0,150,1,0,1,1,3,City of London,"Horatio Nelson, St Paul's Churchyard, West Smithfield, St Paul's, City of London, Greater ",nominatim/nominatim_free,verificado
