file,ciudad,nombre,antes,despues,modo,problemas
europa_occidental.csv,Londres,British Museum,"British Museum, London, UK","British Museum, London, UK",mecanico,
europa_occidental.csv,Londres,Natural History Museum,"Natural History Museum, London, UK","Natural History Museum, London, UK",mecanico,
europa_occidental.csv,Londres,Victoria & Albert Museum,"Victoria and Albert Museum, London, UK","Victoria and Albert Museum, London, UK",mecanico,
europa_occidental.csv,Londres,Tate Modern,"Tate Modern, London, UK","Tate Modern, London, UK",mecanico,
europa_occidental.csv,Londres,National Gallery,"National Gallery, London, UK","National Gallery, London, UK",mecanico,
europa_occidental.csv,Londres,National Portrait Gallery,"National Portrait Gallery, London, UK","National Portrait Gallery, London, UK",mecanico,
europa_occidental.csv,Londres,Science Museum,"Science Museum, London, UK","Science Museum, London, UK",mecanico,
europa_occidental.csv,Londres,Imperial War Museum,"Imperial War Museum, London, UK","Imperial War Museum, London, UK",mecanico,
europa_occidental.csv,Londres,Churchill War Rooms,"Churchill War Rooms, London, UK","Churchill War Rooms, London, UK",mecanico,
europa_occidental.csv,Londres,Sir John Soane's Museum,"Sir John Soane's Museum, London, UK","Sir John Soane's Museum, London, UK",mecanico,
europa_occidental.csv,Londres,Museum of London Docklands,"Museum of London Docklands, UK","Museum of London Docklands, London, UK",mecanico,
europa_occidental.csv,Londres,The Courtauld Gallery,"Courtauld Gallery, London, UK","Courtauld Gallery, London, UK",mecanico,
europa_occidental.csv,Londres,Westminster Abbey,"Westminster Abbey, London, UK","Westminster Abbey, London, UK",mecanico,
europa_occidental.csv,Londres,St Paul's Cathedral,"St Paul's Cathedral, London, UK","St Paul's Cathedral, London, UK",mecanico,
europa_occidental.csv,Londres,Southwark Cathedral,"Southwark Cathedral, London, UK","Southwark Cathedral, London, UK",mecanico,
europa_occidental.csv,Londres,Temple Church,"Temple Church, London, UK","Temple Church, London, UK",mecanico,
europa_occidental.csv,Londres,Tower of London,"Tower of London, UK","Tower of London, London, UK",mecanico,
europa_occidental.csv,Londres,Tower Bridge,"Tower Bridge, London, UK","Tower Bridge, London, UK",mecanico,
europa_occidental.csv,Londres,Big Ben y Palacio de Westminster,"Big Ben, London, UK","Big Ben, London, UK",mecanico,
europa_occidental.csv,Londres,Buckingham Palace,"Buckingham Palace, London, UK","Buckingham Palace, London, UK",mecanico,
europa_occidental.csv,Londres,Kensington Palace,"Kensington Palace, London, UK","Kensington Palace, London, UK",mecanico,
europa_occidental.csv,Londres,Cutty Sark,"Cutty Sark, Greenwich, London, UK","Cutty Sark, Greenwich, London, UK",mecanico,
europa_occidental.csv,Londres,Greenwich Observatory,"Royal Observatory Greenwich, UK","Royal Observatory Greenwich, London, UK",mecanico,
europa_occidental.csv,Londres,Trafalgar Square,"Trafalgar Square, London, UK","Trafalgar Square, London, UK",mecanico,
europa_occidental.csv,Londres,Piccadilly Circus,"Piccadilly Circus, London, UK","Piccadilly Circus, London, UK",mecanico,
europa_occidental.csv,Londres,Covent Garden,"Covent Garden, London, UK","Covent Garden, London, UK",mecanico,
